earthquake name,records name,earthquake date,earthquake time,lat,long,depth,mag,stn_code,stn_lat,stn_long,stn_height,rcd_date,rcd_time,frequency,rcd_duration,direction,scale_factor,max_pga,epi_dist,pick_index_manually,pick_index_kalkan,snr_db_kalkan,tc_5sec,tc_4sec,tc_3sec,tc_2sec,tc_1sec,Pd_5sec,Pd_4sec,Pd_3sec,Pd_2sec,Pd_1sec,Pga_5sec,Pga_4sec,Pga_3sec,Pga_2sec,Pga_1sec,Channel,Scale_factor,PGA_ew,Channel.1,Scale_factor.1,PGA_ns
19990102012000.knt,IBR0129901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR012,36.1901,140.2869,24,1999-01-02, 01:20:13,100Hz,119,U-D,0.0002384185791015625,1.089,126.56251824473094,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.623,N-S,0.0002384185791015625,2.314
19990102012000.knt,IBR0139901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR013,36.1587,140.4892,28,1999-01-02, 01:20:09,100Hz,119,U-D,0.0002384185791015625,2.493,108.60390637539064,0,1.0,-1.7369931546383743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,6.837,N-S,0.0002384185791015625,6.724
19990102012000.knt,IBR0179901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR017,35.9537,140.3194,17,1999-01-02, 01:20:13,100Hz,119,U-D,0.0002384185791015625,1.142,127.28134254179453,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.265,N-S,0.0002384185791015625,1.911
19990102012000.knt,TCG0129901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,TCG012,36.2859,139.8047,33,1999-01-02, 01:20:26,100Hz,119,U-D,0.0002384185791015625,0.519,169.83639083692302,0,1.0,-0.18293747900579022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.61,N-S,0.0002384185791015625,2.15
19990102012000.knt,TCG0149901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,TCG014,36.545,140.1742,130,1999-01-02, 01:20:58,100Hz,119,U-D,0.0002384185791015625,2.281,141.02837081935826,1017,1078.0,22.991526324380487,0.39371605552750977,0.3818532140298748,0.3625853988643857,0.37852856829571996,0.8530446863014106,0.002292047715921239,0.002292047715921239,0.002292047715921239,0.002292047715921239,0.0015688924793686749,2.29355870066436,2.29355870066436,2.29355870066436,2.29355870066436,1.042214865812045,E-W,0.0002384185791015625,6.458,N-S,0.0002384185791015625,8.222
19990104055000.knt,EHM0029901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM002,33.9216,133.3074,19,1999-01-04, 05:51:44,100Hz,119,U-D,0.0002384185791015625,4.314,57.805405827474544,698,708.0,26.63908526908535,10.86386595468465,11.094007267414796,11.432318530808757,9.7168528143589,5.865337965439675,0.009658693104861511,0.009658693104861511,0.009658693104861511,0.009658693104861511,0.008723814726286626,1.9506029295401066,1.9506029295401066,1.9506029295401066,1.9506029295401066,1.9506029295401066,E-W,0.0002384185791015625,12.278,N-S,0.0002384185791015625,7.412
19990104055000.knt,EHM0069901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM006,33.641,133.0082,552,1999-01-04, 05:51:40,100Hz,119,U-D,0.0002384185791015625,1.891,35.53386843198927,851,852.9999999999999,18.28122343294141,8.146842426181545,8.711584812566837,7.7036983692325265,5.545399620275275,3.3095715105499126,0.005838595051415116,0.005838595051415116,0.005838595051415116,0.005462113196433251,0.0038249509523153582,1.8160151838930856,1.8160151838930856,1.8160151838930856,1.8160151838930856,1.8160151838930856,E-W,0.0002384185791015625,11.474,N-S,0.0002384185791015625,4.308
19990104055000.knt,EHM0119901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM011,33.4496,132.4336,10,1999-01-04, 05:51:50,100Hz,119,U-D,0.0002384185791015625,0.879,77.23719605023005,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.633,N-S,0.0002384185791015625,1.512
19990104055000.knt,EHM0129901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM012,33.2217,132.5727,37,1999-01-04, 05:51:47,100Hz,119,U-D,0.0002384185791015625,1.912,67.32747312683595,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.85,N-S,0.0002384185791015625,3.32
19990104055000.knt,EHM0149901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM014,32.9453,132.5047,1,1999-01-04, 05:51:52,100Hz,119,U-D,0.0002384185791015625,1.411,87.08750085002862,288,321.0,14.160181820522679,10.635707753806031,10.74268587600967,11.84670080608366,15.050427915185262,20.82374573556935,0.019221552173708228,0.019221552173708228,0.019221552173708228,0.019221552173708228,0.019221552173708228,1.416922812936263,1.416922812936263,1.416922812936263,1.416922812936263,1.416922812936263,E-W,0.0002384185791015625,2.072,N-S,0.0002384185791015625,3.365
